시군구,업체명,면허년월일,보유,소재지,연락처,데이터기준일자
제주시,(유)대산운수,1983-12-07,35,제주특별자치도 제주시 구좌읍 세화3길30-3,064-784-2088,2019-01-02
제주시,(유)우일교통,1983-11-04,20,제주특별자치도 제주시 한림읍 한림해안로18,064-796-6858,2019-01-02
제주시,흥인운수(주),1979-10-20,35,제주특별자치도 제주시 논세길 118(내도동),064-711-6403,2019-01-02
제주시,대림교통(주),1982-02-08,47,제주특별자치도 제주시 선반로10길 21(화북일동),064-755-3030,2019-01-02
제주시,덕남운수(주),1981-03-23,40,제주특별자치도 제주시 청풍남8길 41(화북일동),064-725-4323,2019-01-02
제주시,동방운수(주),1963-03-05,48,제주특별자치도 제주시 선반로2길 5-3(화북일동),064-755-6102,2019-01-02
제주시,백마교통(주),1967-02-27,42,제주특별자치도 제주시 신산마을길 114(도평동),064-755-7761,2019-01-02
제주시,성원택시(주),1990-04-03,42,제주특별자치도 제주시 한경면 일주서로4334,064-772-4488,2019-01-02
제주시,성일운수(주),1965-06-03,38,제주특별자치도 제주시 신대로12길 24(연동),064-742-9294,2019-01-02
제주시,세기교통,1969-02-14,33,제주특별자치도 제주시 논세길 80(내도동),064-722-6552,2019-01-02
제주시,영일운수(주),1981-03-23,46,제주특별자치도 제주시 애월읍 하소로89,064-799-7977,2019-01-02
제주시,우남운수(주),1992-01-30,24,제주특별자치도 제주시 조천읍신북로376,064-782-5181,2019-01-02
제주시,우진운수(주),1981-03-23,51,제주특별자치도 제주시 선반로4길 26(화북일동),064-756-6842,2019-01-02
제주시,조흥자동차(주),1959-11-05,40,제주특별자치도 제주시 벌랑길 33(삼양삼동),064-755-2157,2019-01-02
제주시,(주)남양교통,1981-03-05,45,제주특별자치도 제주시 백포남길 11-1(이호일동),064-743-5445,2019-01-02
제주시,(주)대명교통,1969-08-18,61,제주특별자치도 제주시 해안마을길 169(해안동),064-746-2557,2019-01-02
제주시,주영택시(주),1982-10-28,40,제주특별자치도 제주시 신산마을길 114(도평동),064-756-1731,2019-01-02
제주시,(주)유일운수,1981-11-30,45,제주특별자치도 제주시 사라길 78(도평동),064-746-2643,2019-01-02
제주시,(주)은마교통,1981-04-01,42,제주특별자치도 제주시 봉개북3길 27(봉개동),064-721-2629,2019-01-02
제주시,(주)신흥운수,1967-10-12,40,제주특별자치도 제주시 선반로8길 5-4(화북일동),064-755-7741,2019-01-02
제주시,(주)중앙교통,1979-08-04,50,제주특별자치도 제주시 조천읍 신흥남2길55,064-782-7111,2019-01-02
제주시,(주)하이제주,1988-05-10,42,제주특별자치도 제주시 선반남2길 29(화북일동),064-755-7601,2019-01-02
제주시,(주)화신교통,1969-02-14,77,제주특별자치도 제주시 오일장서길 60(도두일동),064-756-5490,2019-01-02
제주시,천일택시운수(주),1980-02-16,40,제주특별자치도 제주시 선반남1길 17(화북일동),064-755-5117,2019-01-02
제주시,칠성교통(주),1983-12-21,45,제주특별자치도 제주시 애월읍 중엄1길13,064-713-1972,2019-01-02
제주시,평화운수(주),1979-09-15,43,제주특별자치도 제주시 청풍남6길 39(화북일동),064-755-3606,2019-01-02
제주시,한영운수( ),1966-03-14,53,제주특별자치도 제주시 선반로10길 22(화북일동),064-755-9215,2019-01-02
제주시,현대자동차운수(주),1968-03-14,45,제주특별자치도 제주시 해안마을길 148(해안동),064-746-4890,2019-01-02
서귀포시,남원운수(주),1983-10-27,37,제주특별자치도 서귀포시 남원읍 남한로 121,064-764-0710,2019-01-02
서귀포시,대안택시(주),1983-09-14,35,제주특별자치도 서귀포시 대정읍 신영로 14,064-794-8400,2019-01-02
서귀포시,한라교통(주),1979-09-01,40,제주특별자치도 서귀포시 토평공단로107번길22(토평동),064-732-6199,2019-01-02
서귀포시,(주)동성택시운송,1983-10-27,51,제주특별자치도 서귀포시 성산읍 고성오조로 103,064-782-2107,2019-01-02
서귀포시,(주)서귀포택시,1969-08-05,56,제주특별자치도 서귀포시 토평공단로127번길25(토평동),064-762-2764,2019-01-02
서귀포시,(주)안덕택시,1991-12-21,30,제주특별자치도 서귀포시 안덕면 화순중앙로12번길 42,064-794-1302,2019-01-02
